GEOID,neighborhood_name,borough,area_sqmi
BX0701,University Heights (North)-Fordham,Bronx,0.6569019791223416
BX0702,Bedford Park,Bronx,0.880742467407983
BX0703,Norwood,Bronx,0.5639179183989251
BX0801,Kingsbridge Heights-Van Cortlandt Village,Bronx,0.3934956874414045
BX0802,Kingsbridge-Marble Hill,Bronx,0.4416529350391704
BX0803,Riverdale-Spuyten Duyvil,Bronx,2.259208623982523
BX0901,Soundview-Bruckner-Bronx River,Bronx,1.155302818048772
BX0902,Soundview-Clason Point,Bronx,1.0877110188795653
BX0903,Castle Hill-Unionport,Bronx,1.1800437745568377
BX0904,Parkchester,Bronx,0.32944270338868936
BX0991,Soundview Park,Bronx,0.2795856798766926
BX1001,Westchester Square,Bronx,0.5517557186757968
BX1002,Throgs Neck-Schuylerville,Bronx,2.3845445172975204
BX1003,Pelham Bay-Country Club-City Island,Bronx,1.2665613134578206
BX1004,Co-op City,Bronx,1.0422234702491608
BX1071,Hart Island,Bronx,0.17594824605026843
BX1091,Ferry Point Park-St. Raymond Cemetery,Bronx,0.7800140119735989
BX1101,Pelham Parkway-Van Nest,Bronx,0.5591551943943932
BX1102,Morris Park,Bronx,0.9983806414262351
BX1103,Pelham Gardens,Bronx,1.0784028735947178
BX1104,Allerton,Bronx,0.5651001696093099
BX1161,Hutchinson Metro Center,Bronx,0.4369466658800846
BX1201,Williamsbridge-Olinville,Bronx,1.3000131382952411
BX1202,Eastchester-Edenwald-Baychester,Bronx,2.022925881168989
BX1203,Wakefield-Woodlawn,Bronx,1.4221339029453588
BX1271,Woodlawn Cemetery,Bronx,0.6415821164724417
BX2691,Van Cortlandt Park,Bronx,1.817129378461296
BX2791,Bronx Park,Bronx,1.2002481550802306
BX2891,Pelham Bay Park,Bronx,3.5612434246589943
MN0101,Financial District-Battery Park City,Manhattan,0.6896645612448329
MN0102,Tribeca-Civic Center,Manhattan,0.48705285324238606
MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,Manhattan,0.43019737914791306
MN0201,SoHo-Little Italy-Hudson Square,Manhattan,0.46332506352900155
MN0202,Greenwich Village,Manhattan,0.3802390557523751
MN0203,West Village,Manhattan,0.5171338348460609
MN0301,Chinatown-Two Bridges,Manhattan,0.41399494016354527
MN0302,Lower East Side,Manhattan,0.5908848979927196
MN0303,East Village,Manhattan,0.6809793327365853
MN0401,Chelsea-Hudson Yards,Manhattan,1.0643277064949477
MN0402,Hell's Kitchen,Manhattan,0.6593748435026052
MN0501,Midtown South-Flatiron-Union Square,Manhattan,0.5337114764213474
MN0502,Midtown-Times Square,Manhattan,0.8807012510768555
MN0601,Stuyvesant Town-Peter Cooper Village,Manhattan,0.19999577982281952
MN0602,Gramercy,Manhattan,0.2699580876282277
MN0603,Murray Hill-Kips Bay,Manhattan,0.5657122313360013
MN0604,East Midtown-Turtle Bay,Manhattan,0.4712643108818321
MN0661,United Nations,Manhattan,0.039143205499019736
MN0701,Upper West Side-Lincoln Square,Manhattan,0.5666533105194647
MN0702,Upper West Side (Central),Manhattan,0.9114823281994434
MN0703,Upper West Side-Manhattan Valley,Manhattan,0.4735010001477527
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,0.7712401946808378
MN0802,Upper East Side-Carnegie Hill,Manhattan,0.719745906603139
MN0803,Upper East Side-Yorkville,Manhattan,0.48944586312826305
MN0901,Morningside Heights,Manhattan,0.5711519402700063
MN0902,Manhattanville-West Harlem,Manhattan,0.385058151279777
MN0903,Hamilton Heights-Sugar Hill,Manhattan,0.5733322624949505
MN1001,Harlem (South),Manhattan,0.5174751320022791
MN1002,Harlem (North),Manhattan,0.853452238632196
MN1101,East Harlem (South),Manhattan,0.5973778750897278
MN1102,East Harlem (North),Manhattan,0.9369015560486631
MN1191,Randall's Island,Manhattan,0.8417470096466075
MN1201,Washington Heights (South),Manhattan,0.7542642585462761
MN1202,Washington Heights (North),Manhattan,0.88862093354689
MN1203,Inwood,Manhattan,0.5178552951847503
MN1291,Highbridge Park,Manhattan,0.2780457873467263
MN1292,Inwood Hill Park,Manhattan,0.3589749437933202
MN6491,Central Park,Manhattan,1.3742685159526689
QN0101,Astoria (North)-Ditmars-Steinway,Queens,2.091282592915419
QN0102,Old Astoria-Hallets Point,Queens,0.3978372987475986
