Facility name,Address,Borough,ZIP Code,Accessible,Facility type,latitude,longitude
Bensonhurst OAC -OLDER ADULTS ONLY,7802 Bay Pkwy,Brooklyn,11214,Yes,Older Adult Center,40.6063682,-73.9897507
CCNS The Lodge OAC -OLDER ADULTS ONLY,77-11 18 Av,Brooklyn,11214,Yes,Older Adult Center,,
Elmhurst OAC -OLDER ADULTS ONLY,75-01 Broadway,Queens,11373,Yes,Older Adult Center,40.7462323,-73.8900435
RAIN Nereid OAC -OLDER ADULTS ONLY,720 Nereid Av,Bronx,10466,Yes,Older Adult Center,40.8980424,-73.8537299
CCNS Pete MCGUINNESS OAC -OLDER ADULTS ONLY,715 Leonard St,Brooklyn,11222,Yes,Older Adult Center,40.7289338,-73.95298
JASA Roy Reuther OAC -OLDER ADULTS ONLY,7-11C Seagirt Avenue,Queens,11691,Yes,Older Adult Center,40.5960324,-73.7447705
CASC New Lane Older Adult Center -OLDER ADULTS ONLY,70 New Ln,Staten Island,10305,Yes,Older Adult Center,40.6129252,-74.0619864
Middle Village OAC -OLDER ADULTS ONLY,69-10 75 St,Queens,11379,Yes,Older Adult Center,,
Young Israel Programs Forest Hills OAC -OLDER ADULTS ONLY,68-07 Burns St,Queens,11375,Yes,Older Adult Center,40.721583,-73.8518068
QCH Pomonok OAC -OLDER ADULTS ONLY,67-09 Kissena Blvd,Queens,11367,Yes,Older Adult Center,40.7351619,-73.8140897
Mount Loretto OAC -OLDER ADULTS ONLY,6581 Hylan Blvd,Staten Island,10309,Yes,Older Adult Center,40.511884,-74.2224415
Washington Heights Neighborhood Senior Center (STAR OAC) -OLDER ADULTS ONLY,650 W 187 St,Manhattan,10033,No,Older Adult Center,40.8121344,-73.947926
Kips Bay Castle Hill OAC -OLDER ADULTS ONLY,625 Castle Hill Av,Bronx,10473,Yes,Older Adult Center,40.8195722,-73.8488287
Betances OAC -OLDER ADULTS ONLY,607 Concord Av,Bronx,10455,Yes,Older Adult Center,40.8146729,-73.907815
Goddard Riverside OAC at West 88th Street -OLDER ADULTS ONLY,593 Columbus Av,Manhattan,10024,Yes,Older Adult Center,40.7879321,-73.9708151
Agudath Israel of America Boro Park Senior Citizens OAC -OLDER ADULTS ONLY,5602 11TH AVENUE,Brooklyn,11219,Yes,Older Adult Center,40.633745,-74.0010384
CCNS St. Charles OAC -OLDER ADULTS ONLY,55 Pierrepont St,Brooklyn,11201,Yes,Older Adult Center,40.6959065,-73.9951667
Carver OAC -OLDER ADULTS ONLY,55 E 102 St,Manhattan,10029,Yes,Older Adult Center,40.7910581,-73.9504313
CBN Roosevelt Island Senior Center -OLDER ADULTS ONLY,546 Main St,Manhattan,10044,Yes,Older Adult Center,40.7617927,-73.9497277
Center for Adults Living Well @ the Y (OAC) -OLDER ADULTS ONLY,54 Nagle Av,Manhattan,10040,Yes,Older Adult Center,40.8602278,-73.9295833
CCNS New Age -OLDER ADULTS ONLY,54 MACDONOUGH STREET,Brooklyn,11216,Yes,Older Adult Center,40.6806615,-73.9436786
PSS Manhattanville OAC -OLDER ADULTS ONLY,530 W 133 St,Manhattan,10027,Yes,Older Adult Center,40.8121344,-73.947926
Bronxworks E Roberts Moore OAC -OLDER ADULTS ONLY,515 Jackson Av,Bronx,10455,Yes,Older Adult Center,40.8124596,-73.9096326
PSS King Towers OAC -OLDER ADULTS ONLY,50 Lenox Ave,Manhattan,10026,No,Older Adult Center,40.7995763,-73.9509413
Boro Park Y OAC -OLDER ADULTS ONLY,4912 14 Av,Brooklyn,11219,Yes,Older Adult Center,,
Sephardic Multi Services Senior Citizens Center Inc -OLDER ADULTS ONLY,485 Kings Hwy,Brooklyn,11223,Yes,Older Adult Center,40.6044672,-73.971531
United Neighborhood Senior Citizens OAC -OLDER ADULTS ONLY,475 53 St,Brooklyn,11220,Yes,Older Adult Center,,
Park Slope Ctr for Successful Aging OAC -OLDER ADULTS ONLY,463A 7 St,Brooklyn,11218,Yes,Older Adult Center,,
Arrochar OAC -OLDER ADULTS ONLY,44 Bionia Av,Staten Island,10305,Yes,Older Adult Center,40.5963755,-74.0754133
Bronxworks Soundview OAC -OLDER ADULTS ONLY,391 Bronx River Avenue,Bronx,10473,Yes,Older Adult Center,40.8150689,-73.86745
Eileen Dugan Amico OAC -OLDER ADULTS ONLY,378 Court St,Brooklyn,11231,Yes,Older Adult Center,40.681418,-73.9965279
JASA Scheuer Coney Island OAC -OLDER ADULTS ONLY,3601 Surf Av,Brooklyn,11224,Yes,Older Adult Center,40.5736519,-74.0018088
CCNS Catherine Sheridan OAC -OLDER ADULTS ONLY,35-24 83 St,Queens,11372,Yes,Older Adult Center,,
Carter Burden Luncheon Club OAC -OLDER ADULTS ONLY,351 E 74 St,Manhattan,10021,Yes,Older Adult Center,40.7802653,-73.9814629
HANAC Ravenswood Older Adult Center -OLDER ADULTS ONLY,34-35A 12 St,Queens,11106,Yes,Older Adult Center,,
Central Harlem Kennedy OAC -OLDER ADULTS ONLY,34 W 134 St,Manhattan,10037,Yes,Older Adult Center,40.8121344,-73.947926
RAIN Gunhill OAC -OLDER ADULTS ONLY,3377 White Plains Rd,Bronx,10462,Yes,Older Adult Center,40.8749036,-73.8671667
PSS Andrew Jackson OAC -OLDER ADULTS ONLY,325 E 156 St,Bronx,10451,No,Older Adult Center,,
CCNS Seaside OAC -OLDER ADULTS ONLY,320 Beach 94 St,Queens,11693,Yes,Older Adult Center,,
Ridgewood Bushwick OAC -OLDER ADULTS ONLY,319 Stanhope St,Brooklyn,11237,Yes,Older Adult Center,40.7030798,-73.9185975
CBN Leonard Covello (ISC) Senior Program OAC -OLDER ADULTS ONLY,312 E 109 St,Manhattan,10029,Yes,Older Adult Center,40.7920759,-73.9403936
Corsi OAC -OLDER ADULTS ONLY,307 E 116 St,Manhattan,10029,Yes,Older Adult Center,40.8038802,-73.9540922
RAIN Middletown OAC -OLDER ADULTS ONLY,3035 Middletown Rd,Bronx,10461,Yes,Older Adult Center,40.8445074,-73.8289249
JCCGCI Coney Island Seaside OAC (ISC) -OLDER ADULTS ONLY,3001 W 37 St,Brooklyn,11224,Yes,Older Adult Center,,
