geoid,in_nyc,wbgt,svi,svi_heat,gi_count,indoor_count,gi_density,indoor_density,gi_s,indoor_s,adaptive_score,wbgt_s,svi_s,adaptive_vuln_s,chvi,chvi_class,area_sqmi,rpl_theme1,rpl_theme2,rpl_theme3,rpl_theme4
BK0101,True,17.519549694081917,0.6430684277944627,0.6072116058579701,11.0,4.0,8.681972408495808,3.157080875816657,0.012551585982722602,0.17962784940057466,0.09608971769164863,0.7821875036139339,0.47728843040913227,0.8246596324284452,0.6947118554838371,High,1.2669931995217896,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0102,True,17.54954061152117,0.6430684277944627,0.6072116058579701,2.0,0.0,1.932457175947178,0.0,0.002793766354071225,0.0,0.0013968831770356125,0.809567832040798,0.47728843040913227,0.9974510278976787,0.761435763449203,Very High,1.034951783094348,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0103,True,17.5219943910561,0.6430684277944627,0.6072116058579701,37.0,3.0,67.8219126263017,5.499073996727165,0.09805059585408339,0.3128798008607264,0.2054651983574049,0.7844193995268512,0.47728843040913227,0.6250759782773206,0.6289279360711014,Moderate,0.5455463959542067,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0104,True,17.470059691526288,0.6430684277944627,0.6072116058579701,85.0,6.0,45.33726069606978,3.2002772256049257,0.06554438312784515,0.1820855841624105,0.12381498364512783,0.7370054071821012,0.47728843040913227,0.7740677643276123,0.6627872006396153,High,1.8748375771932893,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0201,True,17.56369957969,0.6430684277944627,0.6072116058579701,0.0,2.0,0.0,5.585685174717777,0.0,0.3178077011105037,0.15890385055525186,0.8224943188491222,0.47728843040913227,0.7100391151704377,0.6699406214762308,High,0.35805813207169385,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0202,True,17.548342655199505,0.6430684277944627,0.6072116058579701,24.0,3.0,28.193846714927947,3.5242308393659934,0.040760034077029536,0.20051751328756867,0.12063877368229911,0.8084741530096493,0.47728843040913227,0.7798635751151304,0.6885420528446374,High,0.8512495738047903,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0203,True,17.51638521859123,0.6430684277944627,0.6072116058579701,29.0,3.0,46.10972863441722,4.769971927698333,0.06666114522876783,0.27139621466045827,0.16902867994461304,0.7792984830159707,0.47728843040913227,0.6915637637033144,0.6493835590428058,Moderate,0.6289345190020013,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0204,True,17.48462698829688,0.6430684277944627,0.6072116058579701,50.0,2.0,95.69281237791274,3.8277124951165096,0.13834374333124713,0.21778465318650758,0.17806419825887737,0.7503046792259903,0.47728843040913227,0.6750761400482361,0.6342230832277862,Moderate,0.5225052828684624,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0261,True,17.559028010479583,0.6430684277944627,0.6072116058579701,4.0,0.0,11.03344138365995,0.0,0.015951120516902364,0.0,0.007975560258451182,0.8182293909919104,0.47728843040913227,0.9854465420348772,0.7603214544786399,Very High,0.3625342140235437,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0301,True,17.454375934118005,0.6430684277944627,0.6072116058579701,172.0,6.0,129.92465394489142,4.532255370170631,0.18783294723086097,0.2578708994483278,0.2228519233395944,0.7226868579187833,0.47728843040913227,0.5933494333099854,0.5977749072126336,Low,1.323844203371557,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0302,True,17.408860684264734,0.6430684277944627,0.6072116058579701,383.0,3.0,258.59783369162244,2.025570498889993,0.37385662978495354,0.11524851178566657,0.24455257078531006,0.6811335279168733,0.47728843040913227,0.553751028911684,0.5707243290792299,Low,1.4810642244463927,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0401,True,17.414361916489174,0.6430684277944627,0.6072116058579701,150.0,4.0,180.76018039668534,4.820271477244943,0.2613262101917379,0.274258098871308,0.26779215453152294,0.6861558999520967,0.47728843040913227,0.5113444400053972,0.5582629234555421,Low,0.8298287801595411,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0402,True,17.37409223349843,0.6430684277944627,0.6072116058579701,284.0,4.0,283.43500588412553,3.9920423363961337,0.40976389689822246,0.22713449791411883,0.3184491974061706,0.6493915312672915,0.47728843040913227,0.4189076556011414,0.5151958724258551,Very Low,1.0019933815659505,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0471,True,17.34796221153359,0.6430684277944627,0.6072116058579701,2.0,0.0,9.982542858135874,0.0,0.014431829440910893,0.0,0.0072159147204554465,0.6255360228572,0.47728843040913227,0.9868327104101835,0.6965523878921719,High,0.20034975340676645,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0501,True,17.25891187129423,0.6430684277944627,0.6072116058579701,401.0,2.0,458.5610942504349,2.2870877518724932,0.6629448622968952,0.1301280107855904,0.3965364365412428,0.544237157385134,0.47728843040913227,0.27641743353046666,0.4326476737749109,Very Low,0.8744745357332933,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0502,True,17.20212863801513,0.6430684277944627,0.6072116058579701,567.0,0.0,566.4192159836456,0.0,0.8188760752945999,0.0,0.40943803764729997,0.4923966766972658,0.47728843040913227,0.25287514893913354,0.40752008534851053,Very Low,1.0010253607221744,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0503,True,17.130135875286566,0.6430684277944627,0.6072116058579701,242.0,3.0,145.2203379597969,1.8002521234685567,0.20994602062530912,0.10242861365844029,0.1561873171418747,0.426670595064118,0.47728843040913227,0.7149961280399153,0.5396517178377218,Very Low,1.6664332517047011,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0504,True,17.047596085744157,0.6430684277944627,0.6072116058579701,6.0,3.0,6.1754494413222165,3.0877247206611083,0.008927888848029789,0.17568170500854632,0.09230479692828805,0.35131556297705435,0.47728843040913227,0.8315661923998929,0.5533900619286932,Very Low,0.9715892028605693,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0505,True,17.118344003327156,0.6430684277944627,0.6072116058579701,258.0,3.0,228.1266010726939,2.652634896194115,0.3298041635686636,0.15092647936205,0.2403653214653568,0.4159051582391144,0.47728843040913227,0.5613917406601603,0.48486177643613565,Very Low,1.1309509666423636,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0571,True,17.278061664232833,0.6430684277944627,0.6072116058579701,4.0,0.0,13.765478482899049,0.0,0.019900844951125568,0.0,0.009950422475562784,0.5617200376947279,0.47728843040913227,0.981842898738071,0.6736171222806436,High,0.29058198049339357,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0601,True,17.548821166664528,0.6430684277944627,0.6072116058579701,47.0,2.0,21.546660160046322,0.9168791557466519,0.031150151706849386,0.0521675045351452,0.04165882812099729,0.8089110119718625,0.47728843040913227,0.9239827693242277,0.736727403901741,Very High,2.181312539896622,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
BK0602,True,17.454412555374258,0.6430684277944627,0.6072116058579701,35.0,0.0,37.77319600821159,0.0,0.054608963865786384,0.0,0.027304481932893192,0.7227202914416373,0.47728843040913227,0.950175960409961,0.7167282274202434,High,0.9265829661962223,0.6728321356847445,0.5367844247298194,0.6653956052602654,0.6972615455030213
