latitude,longitude,name
40.729499618759625,-73.9495166276281,BK0101
40.71491433540045,-73.95862095366591,BK0102
40.70324198075533,-73.95665885781328,BK0103
40.713299759352445,-73.93648763829714,BK0104
40.695465502152025,-73.99483016824743,BK0201
40.694900009511215,-73.98583046403856,BK0202
40.69116938921654,-73.97436137376708,BK0203
40.688998637848286,-73.96446222333371,BK0204
40.701263507541206,-73.97166148143934,BK0261
40.688956894289966,-73.95100175939885,BK0301
40.6866213612912,-73.93179230147929,BK0302
40.70099603398643,-73.92527060338622,BK0401
40.69124488925072,-73.91296594119771,BK0402
40.68438739815098,-73.90127409742699,BK0471
40.6825345350781,-73.88205982430492,BK0501
40.6724846747486,-73.88948369050759,BK0502
40.65972775169807,-73.88804493530623,BK0503
40.65100686692059,-73.87639160608909,BK0504
40.670540580548604,-73.86609820405783,BK0505
40.689494936605485,-73.87770212318017,BK0571
40.67812206526567,-74.00006521438847,BK0601
40.67183145778092,-73.97975949445639,BK0602
40.656044567430975,-73.98002503396538,BK0701
40.6534708240265,-74.01011361017844,BK0702
40.64238979865065,-74.00787958170723,BK0703
40.65213729967066,-73.99023705923862,BK0771
40.67760453122674,-73.96757228973664,BK0801
40.67386385275479,-73.94189634817992,BK0802
40.666860979825316,-73.92681581416834,BK0891
40.666745962224475,-73.94600981482381,BK0901
40.65975724490017,-73.9479618570651,BK0902
40.62667181285365,-74.02992714245403,BK1001
40.62396327921962,-74.01084498975757,BK1002
40.6081534819752,-74.02774918156025,BK1061
40.611151655889294,-74.01893314780793,BK1091
40.61326484427678,-73.99326536066336,BK1101
40.604260297592376,-74.00748270459776,BK1102
40.59929249270001,-73.9857329007781,BK1103
40.64082694358581,-73.99938751820106,BK1201
40.63293565474868,-73.98954496746873,BK1202
40.64113578242852,-73.97605165801363,BK1203
40.61931855387522,-73.973318391192,BK1204
40.58797803032978,-73.97795995035236,BK1301
40.576965246962494,-73.98796588377158,BK1302
40.57907556496879,-73.96069393638972,BK1303
40.58435326395277,-73.99408638631972,BK1391
40.64066688173267,-73.95638920866475,BK1401
40.63652675778573,-73.96618978185055,BK1402
40.620369290880234,-73.95559294973,BK1403
40.59908215585496,-73.96586908535294,BK1501
40.604913595897585,-73.94813559402223,BK1502
40.58829852016378,-73.94150420525409,BK1503
40.67663741087383,-73.91364735052102,BK1601
40.664046935415364,-73.90952229492738,BK1602
40.64855127738002,-73.95013838892892,BK1701
40.63914623452007,-73.93763687227998,BK1702
40.65154690942024,-73.92975282798545,BK1703
40.65621621849107,-73.91916943685955,BK1704
40.64698062480553,-73.93825307406414,BK1771
40.62627487154148,-73.93009715028346,BK1801
40.614975422929156,-73.91853676165675,BK1802
40.639353058641014,-73.90146151058471,BK1803
40.594047052291415,-73.91624594541123,BK1891
40.6123804527732,-73.89695823963363,BK1892
40.630032953620315,-73.88930777301444,BK1893
40.66160192977082,-73.96892069746411,BK5591
40.5931917406809,-73.89185067688196,BK5691
40.61024146096181,-73.85951126265824,BK5692
40.64532524021868,-73.86674096072815,BK5693
40.807524660683605,-73.9172429397121,BX0101
40.818259545893,-73.91285012508264,BX0102
40.810860336160815,-73.884977291828,BX0201
40.82096805519979,-73.89655962600794,BX0202
40.79957643670916,-73.8983698123741,BX0291
40.82729462006745,-73.90474179455428,BX0301
40.837576639945425,-73.90353535940241,BX0302
40.83213872188183,-73.88869728234907,BX0303
40.838549448436886,-73.89498674880122,BX0391
40.82674770126191,-73.92172417551947,BX0401
40.83685757449243,-73.927762698617,BX0402
40.84047982657993,-73.91442828762291,BX0403
40.829982715540226,-73.92639018343309,BX0491
40.840430997359185,-73.90750413788084,BX0492
40.85185295478824,-73.91612416598056,BX0501
40.84986522876222,-73.90441684722195,BX0502
40.85873312919389,-73.8991281396432,BX0503
40.84125956675339,-73.87862816923415,BX0601
40.84692297690573,-73.8917559124923,BX0602
40.85760708654215,-73.88705264583847,BX0603
40.864572754177004,-73.90474972552154,BX0701
40.87356296045704,-73.89079069500549,BX0702
40.87714089407229,-73.87901910099411,BX0703
40.877680200208665,-73.89908200466485,BX0801
40.88083988334918,-73.9057296538181,BX0802
40.89571741684457,-73.90878510033073,BX0803
40.82961493043886,-73.87321765240965,BX0901
40.816106306032424,-73.85910392339741,BX0902
40.8245319812889,-73.84869165519392,BX0903
40.83774646256336,-73.85798885655637,BX0904
40.81643839490261,-73.87125057040845,BX0991
40.837686045817726,-73.84593962954582,BX1001
40.825527583427935,-73.82060404543374,BX1002
40.84559096100365,-73.81153796700742,BX1003
40.872312855167145,-73.82627288485313,BX1004
40.853834211545745,-73.7702321796695,BX1071
40.816623063620916,-73.83258365478747,BX1091
40.84789730185087,-73.86496702386897,BX1101
40.85179259704938,-73.8516871911903,BX1102
40.8642465950406,-73.84669251553505,BX1103
40.8640146175336,-73.86420374733767,BX1104
40.84947625376612,-73.83871564337804,BX1161
40.881016670410105,-73.86072430707749,BX1201
40.88154187504201,-73.83656916892879,BX1202
40.897973199873825,-73.85396637754502,BX1203
40.889537406980246,-73.87258171042325,BX1271
40.89704555845619,-73.8866313255929,BX2691
40.85783295238336,-73.87549831906229,BX2791
40.868246881154676,-73.80787634755515,BX2891
40.70808014393071,-74.01022424943308,MN0101
40.7173063341463,-74.00723308720909,MN0102
40.69124373569537,-74.02072668740907,MN0191
40.723535768496404,-74.00171890882082,MN0201
40.73068079748436,-73.99568443044802,MN0202
40.73480960634812,-74.00589267481946,MN0203
40.71285840477476,-73.99366342470448,MN0301
40.71695626705554,-73.98383728683109,MN0302
40.72596012095345,-73.98209095093759,MN0303
40.7493831035853,-74.00114923657154,MN0401
40.76416895276355,-73.99239988080032,MN0402
40.74404182187115,-73.98975146553641,MN0501
40.75780129395905,-73.98160920675768,MN0502
40.73181408514266,-73.97658199891427,MN0601
40.736824573836714,-73.9840535976239,MN0602
40.74424956164566,-73.97594775714721,MN0603
40.75613339176413,-73.96850337151301,MN0604
40.750345692368164,-73.96731880320294,MN0661
40.77484763784718,-73.98469449627461,MN0701
40.78770331056168,-73.9759339809135,MN0702
40.79924670412154,-73.9673062560514,MN0703
40.76496659914244,-73.95508675452669,MN0801
40.77472985250671,-73.96117409484607,MN0802
40.777323629679344,-73.94868375812155,MN0803
40.809458543431404,-73.96176436840796,MN0901
40.81802267842085,-73.95382231887427,MN0902
40.8270199265157,-73.94846499041947,MN0903
40.80433187234831,-73.95130039997545,MN1001
40.818927366673094,-73.94090769461559,MN1002
40.790009884289454,-73.9457504482663,MN1101
40.80161252216069,-73.93743772536324,MN1102
40.7910013668321,-73.92459676855165,MN1191
40.84090303293867,-73.94153592623537,MN1201
40.85647312418438,-73.93345149855426,MN1202
40.86604715033937,-73.91932408188383,MN1203
40.84659906156249,-73.93023126498056,MN1291
40.87237794103894,-73.92434257931524,MN1292
40.78247331869439,-73.96555855022181,MN6491
40.77740864955068,-73.90525697315962,QN0101
40.772088173258176,-73.93141912300871,QN0102
40.7642841066092,-73.92305685616103,QN0103
40.75955812859656,-73.91031297254318,QN0104
40.75831865148466,-73.93793239600954,QN0105
40.7911303510169,-73.88265517906225,QN0151
40.75191401907181,-73.91998387684883,QN0161
40.76398784046771,-73.89939934939719,QN0171
40.77855883826108,-73.9230796435236,QN0191
40.745379573964605,-73.94890857669719,QN0201
40.73841785934961,-73.92644449332771,QN0202
40.74310452907983,-73.9014100221429,QN0203
40.74866546029629,-73.92818221923058,QN0261
40.734295795412415,-73.91137509520257,QN0271
40.755518792634184,-73.8863447951875,QN0301
40.76407507142371,-73.87220301151041,QN0302
40.754052650909365,-73.86285167590607,QN0303
40.73939955606408,-73.87911138042512,QN0401
40.743240976609826,-73.85928416154724,QN0402
40.723061772548185,-73.90512129442162,QN0501
40.70567300333827,-73.90368884675088,QN0502
40.70353709087314,-73.87574476637032,QN0503
40.71922221465383,-73.87812707736204,QN0504
40.717241276249275,-73.89398081327555,QN0571
40.70932416314079,-73.88341767430225,QN0572
40.71475413563159,-73.86662639505684,QN0573
40.693094436088394,-73.88549904489045,QN0574
40.72623647270739,-73.86341982230019,QN0601
40.721454730757756,-73.84767770029356,QN0602
40.782600068472654,-73.83988934240011,QN0701
40.78837927904304,-73.8108894792691,QN0702
40.78186101792742,-73.78757873957565,QN0703
40.76887101999592,-73.8107694737283,QN0704
40.753803248196576,-73.80806549077771,QN0705
40.74310092080849,-73.81968393016204,QN0706
40.76021312361711,-73.83158365152907,QN0707
40.791606964460456,-73.77671264519662,QN0761
40.74531856407773,-73.8048798653503,QN0791
40.72664500544592,-73.81979282482597,QN0801
40.72706731100339,-73.80342175852556,QN0802
40.734925674879335,-73.78624448798527,QN0803
40.72073204590332,-73.77761009480956,QN0804
40.711886790622266,-73.80885617164492,QN0805
40.73640542884017,-73.8313592991904,QN0871
40.7339447888623,-73.76881094375727,QN0891
40.708033580862235,-73.82875585724544,QN0901
40.69747661304921,-73.83276769338855,QN0902
40.69132856178403,-73.82486691576892,QN0903
40.68456296703264,-73.84936725501014,QN0904
40.69147537006296,-73.85741210481866,QN0905
40.676199157601125,-73.81951959006614,QN1001
40.67557060336785,-73.84701411498173,QN1002
40.66003651765844,-73.84404269681731,QN1003
40.649824289299204,-73.84869535137705,QN1091
40.75525691540987,-73.78600458030087,QN1101
40.76176178787684,-73.76759761817735,QN1102
40.763689086960476,-73.7368878706617,QN1103
40.739306012095255,-73.75457787900378,QN1104
40.75221632145939,-73.74555509012953,QN1191
40.704020892968664,-73.79558190152395,QN1201
40.69430646875171,-73.79172978899902,QN1202
40.67953318667847,-73.78990897231941,QN1203
40.67333058884922,-73.77205282253382,QN1204
40.693238965331034,-73.76222149924443,QN1205
40.711864794700624,-73.76211292170242,QN1206
40.74595130911465,-73.71096174355995,QN1301
40.73549232125224,-73.72669154939888,QN1302
40.71608287731306,-73.74175470274457,QN1303
40.69434196640398,-73.73555296737004,QN1304
40.67591333381103,-73.74450474826112,QN1305
40.66016666768696,-73.76148075232265,QN1306
40.65905013649418,-73.73565947842485,QN1307
40.68580415985428,-73.7420449757121,QN1371
40.601698032839394,-73.756552687196,QN1401
40.59156761661382,-73.79630681851903,QN1402
40.57818152623923,-73.86054055142492,QN1403
40.60337765037215,-73.78052149447804,QN1491
40.77440724741073,-73.87325526543374,QN8081
40.74054804413244,-73.84077254062925,QN8191
40.702075914688066,-73.85346065480438,QN8291
40.64697410022013,-73.78656902758128,QN8381
40.61691397727973,-73.8138148041976,QN8491
40.55858138121688,-73.90412197026556,QN8492
40.64218569822532,-74.08553312926053,SI0101
40.626104243281574,-74.07883600891773,SI0102
40.611685650554506,-74.07276912356568,SI0103
40.62806622818693,-74.10130485697299,SI0104
40.617000444081754,-74.12879650731611,SI0105
40.63383344064448,-74.13317719572153,SI0106
40.63133225850299,-74.16736694343203,SI0107
40.642594382445154,-74.1032718785813,SI0191
40.59353983509585,-74.08127336194505,SI0201
40.574314557977196,-74.1015863964193,SI0202
40.589654402636505,-74.12826574915441,SI0203
40.6037247295101,-74.17545361773581,SI0204
40.582851095109184,-74.17854075165984,SI0291
40.56199832046413,-74.12259090116255,SI0301
40.5502539535741,-74.1549715290678,SI0302
40.552641565352125,-74.19690225855032,SI0303
40.528391676985734,-74.19804140128437,SI0304
40.524649104677245,-74.23548228200694,SI0305
40.56807492882125,-74.1976009390522,SI0391
40.60151757403853,-74.05853317910243,SI9561
40.5762401401679,-74.0531408564434,SI9591
40.568731671183095,-74.09730467588952,SI9592
40.54577893701099,-74.12834386252246,SI9593
