geoid,borough,wbgt,svi,adaptive_score,chvi,chvi_class
BK0101,Brooklyn,17.519549694081917,0.6430684277944627,0.06405981179443242,0.7108946871049433,High
BK0102,Brooklyn,17.54954061152117,0.6430684277944627,0.0009312554513570751,0.7616710178113903,Very High
BK0103,Brooklyn,17.5219943910561,0.6430684277944627,0.1369767989049366,0.6635311047439972,High
BK0104,Brooklyn,17.470059691526288,0.6430684277944627,0.08254332243008522,0.6836393488260519,High
BK0201,Brooklyn,17.56369957969,0.6430684277944627,0.10593590037016791,0.696702218026374,High
BK0202,Brooklyn,17.548342655199505,0.6430684277944627,0.08042584912153274,0.7088592835367103,High
BK0203,Brooklyn,17.51638521859123,0.6430684277944627,0.11268578662974203,0.6778503162816948,High
BK0204,Brooklyn,17.48462698829688,0.6430684277944627,0.11870946550591825,0.6642115461704879,High
BK0261,Brooklyn,17.559028010479583,0.6430684277944627,0.005317040172300788,0.7616646486501608,Very High
BK0301,Brooklyn,17.454375934118005,0.6430684277944627,0.14856794889306293,0.635306239788895,Moderate
BK0302,Brooklyn,17.408860684264734,0.6430684277944627,0.1630350471902067,0.6119103495047149,Low
BK0401,Brooklyn,17.414361916489174,0.6430684277944627,0.1785281030210153,0.6033628097945102,Low
BK0402,Brooklyn,17.37409223349843,0.6430684277944627,0.21229946493744709,0.5688271023357788,Very Low
BK0471,Brooklyn,17.34796221153359,0.6430684277944627,0.004810609813636965,0.6977676472947244,High
BK0501,Brooklyn,17.25891187129423,0.6430684277944627,0.26435762436082855,0.4994298700216809,Very Low
BK0502,Brooklyn,17.20212863801513,0.6430684277944627,0.27295869176486665,0.47647508887744977,Very Low
BK0503,Brooklyn,17.130135875286566,0.6430684277944627,0.10412487809458314,0.5659558127542058,Very Low
BK0504,Brooklyn,17.047596085744157,0.6430684277944627,0.061536531285525366,0.5689354607746376,Very Low
BK0505,Brooklyn,17.118344003327156,0.6430684277944627,0.1602435476435712,0.5253426064174377,Very Low
BK0571,Brooklyn,17.278061664232833,0.6430684277944627,0.006633614983708523,0.6752929104435107,High
BK0601,Brooklyn,17.548821166664528,0.6430684277944627,0.02777255208066486,0.7437433242021633,Very High
BK0602,Brooklyn,17.454412555374258,0.6430684277944627,0.018202987955262127,0.7213266781622832,High
BK0701,Brooklyn,17.42001809684764,0.6430684277944627,0.03540727709063998,0.6995091620204027,High
BK0702,Brooklyn,17.48309492037403,0.6430684277944627,0.00133336405385669,0.7411851034184872,Very High
BK0703,Brooklyn,17.45244952402502,0.6430684277944627,0.001432703449600263,0.7317936176238771,High
BK0771,Brooklyn,17.431836998377147,0.6430684277944627,0.0031833283558568523,0.7243658665983532,High
BK0801,Brooklyn,17.424198924001107,0.6430684277944627,0.04300588355495899,0.6957682234594809,High
BK0802,Brooklyn,17.390907482616726,0.6430684277944627,0.10320463312395117,0.6459204466306605,Moderate
BK0891,Brooklyn,17.338614383412164,0.6430684277944627,0.09954738739989649,0.6324196112677526,Moderate
BK0901,Brooklyn,17.381472252145837,0.6430684277944627,0.10163603623974045,0.6440840300813393,Moderate
BK0902,Brooklyn,17.350943916169474,0.6430684277944627,0.19229109785883994,0.5749833279339812,Low
BK1001,Brooklyn,17.339661801191,0.6430684277944627,0.02573487145344273,0.681436739114833,High
BK1002,Brooklyn,17.325067833047076,0.6430684277944627,0.04554247824886414,0.663927309677326,High
BK1061,Brooklyn,17.210452935495464,0.6430684277944627,0.0,0.659094935965228,Moderate
BK1091,Brooklyn,17.22035474947093,0.6430684277944627,0.0026898799221563648,0.660333567096469,Moderate
BK1101,Brooklyn,17.18590909750621,0.6430684277944627,0.07902171557753077,0.5994906145612598,Low
BK1102,Brooklyn,17.14047969745424,0.6430684277944627,0.018952566834843667,0.6252967168771084,Low
BK1103,Brooklyn,17.098347829184164,0.6430684277944627,0.02714150028350822,0.6070725184655804,Low
BK1201,Brooklyn,17.427818233762196,0.6430684277944627,0.09114669649591157,0.6651083699475494,High
BK1202,Brooklyn,17.303978906091668,0.6430684277944627,0.014720481843374393,0.6778446206444589,High
BK1203,Brooklyn,17.304039929513724,0.6430684277944627,0.0,0.687575143213452,High
BK1204,Brooklyn,17.18284477375398,0.6430684277944627,0.017718852022026416,0.6390031252630639,Moderate
BK1301,Brooklyn,17.016025175533557,0.6430684277944627,0.00208001003906306,0.5985547653205243,Low
BK1302,Brooklyn,16.980856533508597,0.6430684277944627,0.02250298457934441,0.5743780985469756,Very Low
BK1303,Brooklyn,16.942601939153107,0.6430684277944627,0.038979919779161334,0.5518657509724152,Very Low
BK1391,Brooklyn,17.031950011243072,0.6430684277944627,0.0,0.6047732822947377,Low
BK1401,Brooklyn,17.242521662293218,0.6430684277944627,0.08859234119219665,0.6104045428330032,Low
BK1402,Brooklyn,17.246366420576887,0.6430684277944627,0.13850387711333337,0.5786450491486693,Low
BK1403,Brooklyn,17.13474288078277,0.6430684277944627,0.03448949430913466,0.6133002918976763,Low
BK1501,Brooklyn,17.05906456098595,0.6430684277944627,0.09364786698825023,0.5512398215422819,Very Low
BK1502,Brooklyn,17.038288295268043,0.6430684277944627,0.039113545559463676,0.5808966712594791,Low
BK1503,Brooklyn,16.933359413069834,0.6430684277944627,0.033373901713249714,0.5527516977696946,Very Low
BK1601,Brooklyn,17.329997214549007,0.6430684277944627,0.18905884381506433,0.5707413741693391,Very Low
BK1602,Brooklyn,17.246574804175182,0.6430684277944627,0.3653454859348928,0.42904795361493164,Very Low
BK1701,Brooklyn,17.266413371148786,0.6430684277944627,0.04077090819062051,0.6492257812350938,Moderate
BK1702,Brooklyn,17.173074689148006,0.6430684277944627,0.023033014807142756,0.6325238525089025,Moderate
BK1703,Brooklyn,17.219672522887503,0.6430684277944627,0.35276825216170343,0.42915903257162086,Very Low
BK1704,Brooklyn,17.226933829753204,0.6430684277944627,0.2508259064668574,0.4986260320477854,Very Low
BK1771,Brooklyn,17.20379581408237,0.6430684277944627,0.034555990909685044,0.6342704711027359,Moderate
BK1801,Brooklyn,17.105059456345238,0.6430684277944627,0.026383997576128845,0.6096147557339405,Low
BK1802,Brooklyn,17.003642987593036,0.6430684277944627,0.010806737285178206,0.5890291166274233,Low
BK1803,Brooklyn,17.0780222432503,0.6430684277944627,0.14286685025922194,0.5245363797041076,Very Low
BK1891,Brooklyn,16.897981222431895,0.6430684277944627,0.0133871480713083,0.555171893097209,Very Low
BK1892,Brooklyn,16.952677357001857,0.6430684277944627,0.0,0.580649186360359,Low
BK1893,Brooklyn,16.998652191907556,0.6430684277944627,0.0011629631681888007,0.5938728823987973,Low
BK5591,Brooklyn,17.374128865040678,0.6430684277944627,0.0406616526709156,0.6820776275449608,High
BK5691,Brooklyn,16.839686166414932,0.6430684277944627,0.0,0.5462639327372826,Very Low
BK5692,Brooklyn,16.824879334987212,0.6430684277944627,0.0,0.5417579473471685,Very Low
BK5693,Brooklyn,16.987335839805542,0.6430684277944627,0.0,0.5911963866792984,Low
BX0101,Bronx,17.487154700135992,0.8506955090124146,0.050187145234400904,0.8844260963971696,Very High
BX0102,Bronx,17.447476241399297,0.8506955090124146,0.09806001917995533,0.8407667272151684,Very High
BX0201,Bronx,17.402857973294076,0.8506955090124146,0.017113151250239916,0.8805939087117035,Very High
BX0202,Bronx,17.420805953506658,0.8506955090124146,0.059645157697401224,0.8579949811724289,Very High
BX0291,Bronx,17.470995303585074,0.8506955090124146,0.0,0.9126198593218974,Very High
