GEOID,raster_file,vpd_file,tmax_mean_raw,tmax_mean_C,vpd_mean_raw,vpd_mean_kPa,ea_kPa,wbgt_C,period,year,month
BK0101,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.289366722106934,-0.7106332778930664,4.088616689046224,0.4088616689046224,0.17106195915676703,3.6042982813832407,2020-01,2020,01
BK0102,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.314500172932942,-0.6854998270670576,4.097500271267361,0.4097500271267361,0.1712416126695971,3.61861955183213,2020-01,2020,01
BK0103,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.307685579572405,-0.6923144204275946,4.093171255929129,0.40931712559291294,0.17138476557759946,3.6148119364895503,2020-01,2020,01
BK0104,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.286659749348958,-0.7133402506510418,4.073546600341797,0.4073546600341797,0.17245404256638192,3.6033105166094472,2020-01,2020,01
BK0201,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.3092498779296875,-0.6907501220703125,4.12037467956543,0.41203746795654295,0.16873092406534385,3.614655933943813,2020-01,2020,01
BK0202,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.320929718017578,-0.6790702819824217,4.116149520874023,0.4116149520874023,0.16965018176500202,3.6216396715496124,2020-01,2020,01
BK0203,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.296700371636285,-0.7032996283637152,4.104499816894531,0.4104499816894531,0.1697851002340811,3.607954655109767,2020-01,2020,01
BK0204,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.259000142415364,-0.7409998575846357,4.079283396402995,0.4079283396402995,0.1707072188904909,3.5869410177734746,2020-01,2020,01
BK0261,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.336057118007115,-0.6639428819928854,4.115785598754883,0.4115785598754883,0.17033049856246418,3.6304842718450825,2020-01,2020,01
BK0301,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.27388350168864,-0.7261164983113604,4.075816472371419,0.4075816472371419,0.17168490724686664,3.595764114005477,2020-01,2020,01
BK0302,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.270378385271345,-0.7296216147286554,4.060292652675083,0.4060292652675083,0.17308863128673552,3.5943283765445395,2020-01,2020,01
BK0401,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.266720199584961,-0.7332798004150387,4.05756950378418,0.40575695037841797,0.1732058323082828,3.592300245261828,2020-01,2020,01
BK0402,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.268219757080078,-0.731780242919922,4.058409881591797,0.4058409881591797,0.17318537410528057,3.5931424542877792,2020-01,2020,01
BK0471,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.266749858856201,-0.7332501411437988,4.0610246658325195,0.40610246658325194,0.17286157356385184,3.59218176838206,2020-01,2020,01
BK0501,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.321840286254883,-0.6781597137451172,4.075889968872071,0.40758899688720707,0.17371487908099215,3.6237533897853487,2020-01,2020,01
BK0502,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.351150131225586,-0.6488498687744144,4.068219757080078,0.40682197570800777,0.17573017231067217,3.641164082123001,2020-01,2020,01
BK0503,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.34376859664917,-0.6562314033508301,4.0296311378479,0.40296311378479005,0.17927444014517874,3.6383716492771345,2020-01,2020,01
BK0504,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.319636258212003,-0.6803637417879971,3.9843725724653765,0.39843725724653767,0.18277284745779432,3.626063487457119,2020-01,2020,01
BK0505,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.361579895019531,-0.6384201049804688,4.045909881591797,0.4045909881591797,0.17840592292116875,3.6481293281840936,2020-01,2020,01
BK0571,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.312166213989258,-0.6878337860107422,4.082200050354004,0.4082200050354004,0.17267238313140182,3.61785848990255,2020-01,2020,01
BK0601,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.352964513442096,-0.647035486557904,4.1260824764476105,0.41260824764476106,0.17002125066038715,3.6399492306312005,2020-01,2020,01
BK0602,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.2567454251376065,-0.7432545748623935,4.07683632590554,0.407683632590554,0.1708563878360086,3.585721216472574,2020-01,2020,01
BK0701,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.254443032400949,-0.7455569675990512,4.0578427995954245,0.40578427995954247,0.17265819663147985,3.5851238706475095,2020-01,2020,01
BK0702,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.337647287469161,-0.662352712530839,4.09115279348273,0.409115279348273,0.17286150410540974,3.63238058310844,2020-01,2020,01
BK0703,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.306262493133545,-0.6937375068664551,4.0665998458862305,0.40665998458862307,0.1739814147283134,3.615025529594947,2020-01,2020,01
BK0771,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.281324863433838,-0.7186751365661621,4.0625,0.40625,0.1733322671543105,3.6006307785586302,2020-01,2020,01
BK0801,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.230466524759929,-0.7695334752400713,4.072616895039876,0.4072616895039876,0.17016585567076264,3.570549700817489,2020-01,2020,01
BK0802,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.249558130900065,-0.7504418690999346,4.058974901835124,0.4058974901835124,0.17233807943379997,3.5822283254378204,2020-01,2020,01
BK0891,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.2729997634887695,-0.7270002365112305,4.046199798583984,0.4046199798583984,0.17460909060828206,3.5964122385071873,2020-01,2020,01
BK0901,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.247871398925781,-0.7521286010742188,4.058742795671735,0.40587427956717353,0.17228986131725305,3.5812529986885986,2020-01,2020,01
BK0902,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.271399688720703,-0.7286003112792967,4.05651969909668,0.405651969909668,0.1735092383711262,3.5950727541844913,2020-01,2020,01
BK1001,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.344394683837891,-0.6556053161621094,4.0581105550130205,0.40581105550130203,0.17645317584466058,3.6376178838430357,2020-01,2020,01
BK1002,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.277981844815341,-0.7220181551846592,4.019599914550781,0.4019599914550781,0.17748042351536675,3.6003655124518374,2020-01,2020,01
BK1061,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.3619570050920755,-0.6380429949079245,4.026199885777065,0.40261998857770653,0.18039300947230796,3.6491240746098237,2020-01,2020,01
BK1091,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.339528492518833,-0.6604715074811667,4.012300218854632,0.4012300218854632,0.18082689073697333,3.636577623317809,2020-01,2020,01
BK1101,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.311072794596354,-0.6889272054036457,3.988300069173177,0.39883000691731774,0.18201588873690655,3.6209105188097372,2020-01,2020,01
BK1102,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.368577745225695,-0.6314222547743054,4.002444373236762,0.4002444373236762,0.18305105587809478,3.65392264650306,2020-01,2020,01
BK1103,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.374179840087891,-0.6258201599121094,3.9996299743652344,0.3999629974365234,0.18357162169925012,3.6573036166576394,2020-01,2020,01
BK1201,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.277571269444057,-0.7224287305559427,4.049742562430246,0.4049742562430246,0.17444873916130182,3.598941264265172,2020-01,2020,01
BK1202,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.245075225830078,-0.7549247741699219,4.005858421325684,0.40058584213256837,0.17745990525294325,3.581699395810061,2020-01,2020,01
BK1203,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.263990020751953,-0.7360099792480472,4.023380279541016,0.40233802795410156,0.1765090140287756,3.592050384279666,2020-01,2020,01
BK1204,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.272989654541016,-0.727010345458984,3.9743099212646484,0.3974309921264648,0.18179764957861633,3.599231610409152,2020-01,2020,01
BK1301,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.362241744995117,-0.6377582550048828,3.987574577331543,0.3987574577331543,0.18426768716898934,3.6508082704696445,2020-01,2020,01
BK1302,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.319811652688419,-0.6801883473115806,3.9601884729721966,0.39601884729721964,0.18519871914596248,3.627116303698697,2020-01,2020,01
BK1303,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.337683041890462,-0.6623169581095381,3.9655497868855796,0.39655497868855794,0.18542332761928426,3.637337652506271,2020-01,2020,01
BK1391,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.363466262817383,-0.6365337371826172,3.9872665405273438,0.3987266540527344,0.1843507306767294,3.651535208173411,2020-01,2020,01
BK1401,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.262341499328613,-0.7376585006713867,4.002891540527344,0.40028915405273435,0.17848801193141983,3.5918934188083718,2020-01,2020,01
BK1402,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.256672599098899,-0.7433274009011006,3.9992814497514204,0.39992814497514206,0.17860878985961437,3.5887266181039044,2020-01,2020,01
BK1403,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.282507676344651,-0.7174923236553488,3.9607306260329027,0.3960730626032903,0.18355940145564337,3.605320697259485,2020-01,2020,01
BK1501,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.363884559044471,-0.6361154409555292,3.9920152517465444,0.39920152517465446,0.18389370566855434,3.651592771305957,2020-01,2020,01
BK1502,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.353379821777343,-0.6466201782226566,3.9822601318359374,0.39822601318359374,0.1844211917196994,3.6458438872935957,2020-01,2020,01
BK1503,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.341370010375977,-0.6586299896240231,3.9678298950195314,0.3967829895019531,0.1853523712809647,3.639400277796598,2020-01,2020,01
BK1601,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.279122246636285,-0.7208777533637152,4.055322011311849,0.4055322011311849,0.17395660033321708,3.5996272577737276,2020-01,2020,01
BK1602,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.314145174893466,-0.6858548251065342,4.047535982998935,0.40475359829989344,0.1762229442337605,3.620375931248463,2020-01,2020,01
BK1701,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.287256028917101,-0.7127439710828991,4.034433152940538,0.40344331529405386,0.1763907008307677,3.605195713822488,2020-01,2020,01
BK1702,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.262032826741536,-0.7379671732584638,3.978755103217231,0.3978755103217231,0.18088857276416226,3.592661821858767,2020-01,2020,01
BK1703,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.28764551336115,-0.7123544866388496,4.017009041526101,0.40170090415261006,0.17814964706609182,3.606107817372746,2020-01,2020,01
BK1704,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.300590861927379,-0.6994091380726211,4.025908730246804,0.4025908730246804,0.17780949477181313,3.6133141501581463,2020-01,2020,01
BK1771,prism_tmax_us_30s_202001_avg_30y.tif,prism_vpdmax_us_30s_202001_avg_30y.tif,4.28125,-0.71875,4.008199691772461,0.4008199691772461,0.17875912100836006,3.6027210845562854,2020-01,2020,01
